"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"44",3140,1185.43588609084,43967.5102910826,43967.1987222744,1183.11634206468,44011.1955186144,44051.5570492381,1199.978846437,43906.2952505802,43902.1889972445,1098.71535704642,45179.0765023995,45187.51128548,1274.18183114252,49281.0831690385,49294.0245353293,862.283708281671,21973.5197204526,21986.8374123491,753.29440281798,23358.4758810728,23370.9681430055,899.164781422171,24807.5982603222,24818.3411311213,879.893233533028,23801.1781414503,23813.6406029167,465.98974807118,466.328552718148,466.330954013179,461.685298431618,NA,NA
"45",3213,1186.79557682749,43970.8323163282,43970.5206614865,1184.63502788043,44014.5152889589,44054.8767354704,1200.3597582252,43909.6161418419,43905.5090785731,1104.68093057871,45182.3919948945,45190.8259860337,1274.89954552109,49284.4005441664,49297.3411055003,863.017693482662,21976.8452084293,21990.1620819454,758.673503660939,23361.7965439989,23374.2880291612,899.990936110877,24810.9162860887,24821.6583527473,880.036215479022,23804.5004186746,23816.9621000235,469.355149224025,469.686173361642,469.688581873518,464.999363377985,NA,NA
"46",3286,1188.02113621413,43974.0047091467,43973.6929721465,1186.00840394777,44017.6855284426,44058.0468946307,1200.69088538428,43912.7874517539,43908.6796150335,1110.32313882954,45185.558149214,45193.9913840828,1275.5334575503,49287.5684963201,49300.5082889546,863.673603531913,21980.0209080087,21993.337000006,763.808834999974,23364.9676358601,23377.4583792397,900.730830897819,24814.0848595747,24824.8261583132,880.158271596379,23807.6730521219,23820.1339884918,472.569305520503,472.892558271232,472.894973669064,468.16381820692,NA,NA
"47",3359,1189.12579609721,43977.0342093614,43976.7223939034,1187.25037368421,44020.7129723141,44061.0742617967,1200.97873469448,43915.8159178389,43911.7073425051,1115.65950988816,45188.5816919273,45197.0142045902,1276.09335222814,49290.5937558887,49303.532814448,864.259743405206,21983.0535660394,21996.3689117195,768.711443954811,23367.9958937158,23380.4859287245,901.393472293221,24817.1107124893,24827.8512778967,880.262464441711,23810.7027821267,23823.1630070734,475.639014072023,475.95451948713,475.956941455305,471.185416916187,NA,NA
"48",3432,1190.12148302239,43979.9272532168,43979.615362835,1188.373510211,44023.6040524494,44063.9652686814,1201.22896250912,43918.7079741444,43914.5986934664,1120.7066217297,45191.4690466224,45199.9008696092,1276.58787202873,49293.4827501075,49306.4211076562,864.783534665085,21985.9496254749,21999.2642584538,773.391877013017,23370.8877511713,23383.3771097158,901.986926425688,24820.0002733282,24830.7401384358,880.351408357456,23813.596045422,23826.0555909897,478.570766520279,478.878562218102,478.880990455492,474.070608601138,NA,NA
"49",3505,1191.01894700034,43982.6899870529,43982.378025122,1189.38918363748,44026.3649110162,44066.7260572971,1201.44648590418,43921.4697649123,43917.3598106606,1125.48015371637,45194.2263475522,45202.6575119274,1277.0246503066,49296.2416167128,49309.1793048262,865.251609430899,21988.7152390616,22002.0291914413,777.860202717585,23373.6493520458,23386.1380645954,902.518417228686,24822.7596810317,24833.4988773827,880.427335069342,23816.3589888138,23828.817885603,481.370762765395,481.670898661872,481.673332881144,476.825551219223,NA,NA
"50",3578,1191.82787757014,43985.3282803628,43985.0162501056,1190.30767616681,44029.0014135236,44069.3624930042,1201.63557930078,43924.1071576322,43919.9965601461,1129.99493530695,45196.8594526677,45205.2899880966,1277.41042912433,49298.8762169818,49311.8132658129,865.669894353106,21991.3562824108,22004.6695848472,782.126033326377,23376.2865634256,23388.7746590775,902.99441437525,24825.3947980264,24836.1333557433,880.492149683467,23818.9974822404,23831.4557594737,484.044924077113,484.337461203041,484.339901130033,479.456124733117,NA,NA
"51",3651,1192.55700841308,43987.8477382628,43987.5356427568,1191.13828618813,44031.5191612835,44071.8801769726,1201.79995845932,43926.625755507,43922.5145437596,1134.26499212599,45199.3739560627,45207.8038908747,1277.75116332233,49301.3921481848,49314.3285865286,866.043685655104,21993.8783664815,22007.1910482496,786.198545490007,23378.8049881284,23391.2924946691,903.420712031315,24827.9112226806,24838.649170529,880.547478488044,23821.5171312434,23833.9748168271,486.598905616755,486.883915016604,486.886360389706,481.967943660515,NA,NA
"52",3724,1193.21421164656,43990.2537134007,43989.9415555849,1191.88942240915,44033.9235033103,44074.2844580812,1201.94285349555,43929.0309093575,43924.9191110165,1138.30358953586,45201.775199859,45210.2045611074,1278.05211243708,49303.794755477,49316.7306108313,866.377716192739,21996.2868495006,22009.598938557,790.086499992637,23381.2099766068,23393.6969205715,903.802499386296,24830.3143011976,24841.0516666476,880.594709759222,23823.9232888765,23836.3804094601,489.038108396425,489.315670103715,489.318120673315,484.366369057377,NA,NA
"53",3797,1193.80658281598,43992.5513173273,43992.2391000083,1192.56868898198,44036.2195476852,44076.5804442819,1202.06707235373,43931.3277289895,43927.2153704767,1142.12327384692,45204.0682855557,45212.4970990753,1278.31792188679,49306.0891432542,49319.0244418785,866.676215380591,21998.5868483471,22011.898371389,793.798260598172,23383.5066383156,23395.9930450442,904.144423819496,24832.6091389745,24843.3459482588,880.635028594846,23826.2210670783,23838.6776481109,491.367690700761,491.637892785392,491.640348313309,486.656519960201,NA,NA
"54",3870,1194.34051750237,43994.7454313563,43994.4331572144,1193.18296248396,44038.4121724088,44078.7730134516,1202.17505598376,43933.5210940505,43929.4082005975,1145.73591129389,45206.2580848673,45214.6863753293,1278.55269467758,49308.2801859974,49321.2149529681,866.942962743809,22000.7832494229,22014.0942319449,797.341812042378,23385.6998525668,23398.1857462577,904.450647471205,24834.8006114483,24845.536889618,880.669446650206,23828.4153475327,23840.871413317,493.592578995375,493.855516678466,493.85797693744,488.843284311749,NA,NA
"55",3943,1194.82178037276,43996.8407169348,43996.5283885293,1193.73846153299,44040.5060357639,44080.866823755,1202.26892630689,43935.6156643965,43931.5022600982,1149.15272489954,45208.3492500742,45216.7770410383,1278.76005473703,49310.3725386286,49323.3067978927,867.181335773551,22002.8807190337,22016.1911853823,800.724777209638,23387.7942788956,23400.2796826575,904.724897907152,24836.8933744538,24847.6291454316,880.69882752186,23830.5107920404,23842.9663657845,495.717478345054,495.97325317718,495.975717950365,490.931329393541,NA,NA
"56",4016,1195.25556741884,43998.8416255464,43998.5292453214,1194.24080974185,44042.5055862125,44082.8663235416,1202.35052791225,43937.6158899913,43933.5019978576,1152.38432934008,45210.3462239061,45218.773537871,1278.94320285276,49312.3706464002,49325.304420826,867.394352691967,22004.8837133032,22018.1936867281,803.954433531295,23389.7943669603,23402.2793028607,904.970513493007,24838.8918741155,24849.6271607466,880.723908416471,23832.5118524225,23844.9669562891,497.746882363762,497.995601462657,497.998070543141,492.925111787382,NA,NA
"57",4089,1195.64656205594,44000.7524081685,44000.4399784582,1194.69509264906,44044.4150718469,44084.7757607959,1202.42146430382,43939.5260203616,43935.4116623657,1155.44076392078,45212.2532489809,45220.680107432,1279.1049660794,49314.2787543392,49327.2120657652,867.584710668205,22006.7964876399,22020.1059903437,807.037728640852,23391.7043659951,23404.1888551076,905.190484031273,24840.8003562929,24851.5351803936,880.745318648334,23834.4227799791,23846.8774351327,499.685082717475,499.926858061508,499.929331251861,494.828886887189,NA,NA
"58",4162,1195.99898568779,44002.5771243039,44002.2646473372,1195.10590920249,44046.2385494141,44086.5991921622,1202.48312940987,43941.3501136242,43937.2353107498,1158.33152376408,45214.0743768186,45222.5008002732,1279.24784137675,49316.1009162661,49329.0337855469,867.754819969321,22008.6231057781,22021.9321589633,809.981295319719,23393.5283338379,23406.0123962871,905.387487155226,24842.6228756015,24853.3572580052,880.763595429747,23836.2476345207,23848.7018611725,501.536178199941,501.771125973912,501.773603085749,496.646717981415,NA,NA
"59",4235,1196.31664328335,44004.319650605,44004.0071285106,1195.47741831693,44047.9798929354,44088.3404915635,1202.53673497424,43943.0920451083,43938.9768173939,1161.06558930711,45215.813476448,45224.2394844994,1279.37403415256,49317.8410034067,49330.7734504577,867.906834478499,22010.367448411,22023.676072325,812.791465765642,23395.2701455514,23407.7538005553,905.563920922917,24844.3633040264,24855.0972646284,880.779197350406,23837.990292994,23850.4441104448,503.304083400579,503.532323390529,503.534804244098,498.382484925456,NA,NA
