"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"52",3724,1193.21421164656,1191.88942240915,1201.94285349555,1138.30358953586,1278.05211243708,866.377716192739,790.086499992637,903.802499386296,880.594709759222,489.038108396425,484.366369057377
"53",3797,1193.80658281598,1192.56868898198,1202.06707235373,1142.12327384692,1278.31792188679,866.676215380591,793.798260598172,904.144423819496,880.635028594846,491.367690700761,486.656519960201
"54",3870,1194.34051750237,1193.18296248396,1202.17505598376,1145.73591129389,1278.55269467758,866.942962743809,797.341812042378,904.450647471205,880.669446650206,493.592578995375,488.843284311749
"55",3943,1194.82178037276,1193.73846153299,1202.26892630689,1149.15272489954,1278.76005473703,867.181335773551,800.724777209638,904.724897907152,880.69882752186,495.717478345054,490.931329393541
"56",4016,1195.25556741884,1194.24080974185,1202.35052791225,1152.38432934008,1278.94320285276,867.394352691967,803.954433531295,904.970513493007,880.723908416471,497.746882363762,492.925111787382
"57",4089,1195.64656205594,1194.69509264906,1202.42146430382,1155.44076392078,1279.1049660794,867.584710668205,807.037728640852,905.190484031273,880.745318648334,499.685082717475,494.828886887189
"58",4162,1195.99898568779,1195.10590920249,1202.48312940987,1158.33152376408,1279.24784137675,867.754819969321,809.981295319719,905.387487155226,880.763595429747,501.536178199941,496.646717981415
"59",4235,1196.31664328335,1195.47741831693,1202.53673497424,1161.06558930711,1279.37403415256,867.906834478499,812.791465765642,905.563920922917,880.779197350406,503.304083400579,498.382484925456
"60",4308,1196.60296445732,1195.81338097708,1202.58333436757,1163.65145420034,1279.48549230495,868.042678967008,815.474285214521,905.721933007989,880.792515884056,504.992536982823,500.039892422555
"61",4381,1196.86104049837,1196.11719831189,1202.62384328644,1166.097151694,1279.58393629,868.164073465192,818.035524944919,905.863446842646,880.803885211105,506.605109590426,501.622477930861
"62",4454,1197.09365774437,1196.39194602609,1202.65905774722,1168.41027959412,1279.67088567849,868.27255504108,820.480694693224,905.990185030996,880.813590603676,508.14521139846,503.133619213549
"63",4527,1197.30332766536,1196.64040553716,1202.68966972804,1170.59802386593,1279.74768261184,868.369497262378,822.815054506197,906.103690317775,880.821875583479,509.616099324947,504.576541548081
"64",4600,1197.49231397883,1196.86509213307,1202.7162807665,1172.66718095774,1279.81551251927,868.456127588248,825.043626056372,906.205344367708,880.828948032103,511.020883918408,505.954324610026
"65",4673,1197.66265709007,1197.06828043592,1202.73941378006,1174.62417891485,1279.87542241593,868.533542911107,827.171203444678,906.296384584081,880.834985407053,512.362535935865,507.269909046105
"66",4746,1197.81619612164,1197.25202742915,1202.75952334165,1176.47509734889,1279.92833706457,868.602723445211,829.202363513499,906.377919171268,880.84013919441,513.643892625228,508.526102750512
"67",4819,1197.95458876953,1197.41819328145,1202.77700461212,1178.22568632471,1279.97507325002,868.664545137897,831.141475692381,906.450940624562,880.844538709795,514.867663725345,509.725586857892
"68",4892,1198.07932920063,1197.56846017825,1202.79220110541,1179.88138422363,1280.01635238701,868.719790760615,832.992711397536,906.516337811512,880.848294343166,516.036437196395,510.870921465769
"69",4965,1198.19176418464,1197.7043493514,1202.80541143863,1181.44733463821,1280.05281165587,868.769159820193,834.760053005392,906.574906791833,880.851500329028,517.15268469276,511.964551098651
"70",5038,1198.29310763454,1197.82723647939,1202.81689520007,1182.92840235144,1280.08501383796,868.813277415828,836.447302419481,906.627360507594,880.85423711039,518.218766789939,513.008809925454
"71",5111,1198.38445371269,1197.93836561408,1202.82687805023,1184.32918844961,1280.1134560027,868.852702153939,838.058089249083,906.674337461641,880.856573356476,519.236937976547,514.005926741393
"72",5184,1198.46678864408,1198.03886177489,1202.83555615607,1185.65404461607,1280.1385771803,868.887933221106,839.595878617241,906.716409489896,880.858567686691,520.209351421988,514.958029724971
"73",5257,1198.54100136414,1198.129742338,1202.84310004581,1186.90708665018,1280.16076513855,868.919416704655,841.063978614934,906.754088722136,880.860270141384,521.138063529845,515.867150980224
"74",5330,1198.60789311624,1198.21192733575,1202.84965795989,1188.09220725347,1280.18036236839,868.947551240907,842.465547417433,906.787833815992,880.861723437274,522.025038286647,516.735230873897
"75",5403,1198.66818610232,1198.28624877067,1202.85535876392,1189.21308812265,1280.19767137056,868.972693062613,843.803600078168,906.818055540047,880.862964039427,522.87215141519,517.564122176842
"76",5476,1198.72253128028,1198.35345903822,1202.86031448097,1190.27321138727,1280.21295932495,868.995160509492,845.081015014709,906.845121773993,880.864023076142,523.681194341211,518.355594018437
"77",5549,1198.77151539201,1198.41423854374,1202.86462249285,1191.27587042719,1280.22646221479,869.015238058971,846.30054020081,906.86936198672,880.864927120005,524.453877981791,519.111335662501
"78",5622,1198.81566729825,1198.46920259056,1202.8683674537,1192.22418010391,1280.23838846924,869.033179928166,847.464799077853,906.891071246833,880.865698854633,525.1918363635,519.832960112742
"79",5695,1198.85546368848,1198.51890760899,1202.87162295349,1193.12108643711,1280.24892218068,869.049213292723,848.57629619839,906.910513814436,880.866357643837,525.896630077945,520.522007555444
"80",5768,1198.89133422747,1198.56385678941,1202.87445296409,1193.96937575683,1280.25822594635,869.063541163261,849.637422613934,906.927926357887,880.866920017481,526.569749582014,521.179948646735
"81",5841,1198.92366619428,1198.60450517632,1202.87691309633,1194.77168335943,1280.26644337817,869.076344955841,850.650461018588,906.943520834688,880.867400086239,527.212618349815,521.808187651458
"82",5914,1198.95280866348,1198.641264275,1202.87905169278,1195.53050169443,1280.27370131953,869.087786789014,851.617590659571,906.957487071578,880.867809895653,527.826595882951,522.408065440335
"83",5987,1198.97907627398,1198.67450621738,1202.88091077771,1196.24818810755,1280.28011180326,869.09801153653,852.540892025216,906.969995075235,880.868159728364,528.412980585517,522.980862351833
"84",6060,1199.00275262608,1198.70456752936,1202.88252688296,1196.92697216406,1280.28577378087,869.10714866169,853.422351320514,906.981197101717,880.868458362123,528.973012509888,523.527800924831
"85",6133,1199.02409334332,1198.7317525376,1202.8839317658,1197.56896257511,1280.29077465006,869.115313856581,854.263864739835,906.991229509825,880.868713290034,529.507875979113,524.050048507924
